eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
369.6,22.78,265,0.0028806766,0.030924479,0.34611616,-0.0061981305,0.27261606,0.8560878932476044,3189,6531072,25940.554742437787,6531072
368.59,22.76,280,0.009184298,0.083984375,0.3648155,-0.0028597135,0.09352031,0.9427040964365005,3190,6533120,25947.84505865397,6533120
369.76,23.05,282,0.002983803,0.032226562,0.34240434,-0.001075437,0.08767655,0.8856898546218872,3191,6535168,25955.10057302192,6535168
369.76,23.02,274,0.0022299278,0.025390625,0.35142234,-0.0033993789,0.08900407,0.9275963753461838,3192,6537216,25962.57186720567,6537216
364.18,22.41,266,0.002399915,0.025553385,0.3218476,-0.0029761773,0.41290393,0.778653010725975,3193,6539264,25970.255383522715,6539264
366.48,22.62,268,0.0070801848,0.052734375,0.350372,-0.00536547,0.22420706,0.8862479627132416,3194,6541312,25977.888510138728,6541312
367.49,22.63,266,0.006094439,0.059895832,0.33096465,-0.0041439338,0.10338899,0.9660865105688572,3195,6543360,25985.572507220786,6543360
367.49,22.71,272,0.0024698449,0.026692709,0.36492097,-0.004929089,0.06730943,0.768661379814148,3196,6545408,25993.102574692108,6545408
370.53,22.88,273,0.0046821814,0.045247395,0.34473547,-0.004960434,0.27417672,0.6858500242233276,3197,6547456,26000.57848025486,6547456
370.1,23.39,273,0.005312532,0.047851562,0.30860212,-0.0036688764,0.19528826,0.9327471926808357,3198,6549504,26008.076833447907,6549504
369.75,23.12,261,0.008936979,0.07210287,0.33961058,-0.004648186,0.46542534,0.7329128384590149,3199,6551552,26015.900898329914,6551552
369.75,22.92,272,0.012511258,0.09033203,0.29284,-0.0029672321,0.074428864,0.9636726975440979,3200,6553600,26023.42790635582,6553600
368.58,22.69,268,0.0046054446,0.043619793,0.33261922,-0.0028099802,0.24529827,0.9553507529199123,3201,6555648,26031.063299801666,6555648
366.06,22.68,274,0.0027508438,0.029134115,0.35723224,-0.002126384,0.14163296,0.9544398635625839,3202,6557696,26038.521055427846,6557696
